"No.","Time","Source","Destination","Protocol","Length","Info","Data"
"1117","0.563666","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000108"
"1151","0.579277","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000171"
"1172","0.590489","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001bb"
"1194","0.601173","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001ec"
"1214","0.612475","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001df"
"1240","0.627882","","","CAN","40","ID: 589 (0x24d), Length: 5","000000012e"
"1263","0.639158","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000117"
"1287","0.650652","","","CAN","40","ID: 589 (0x24d), Length: 5","000000019b"
"1310","0.661248","","","CAN","40","ID: 589 (0x24d), Length: 5","000000019c"
"1334","0.672259","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000194"
"1356","0.683157","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000121"
"1374","0.694524","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001f7"
"1397","0.705834","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000182"
"1420","0.716630","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000102"
"1437","0.727838","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000129"
"1465","0.738931","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001b8"
"1482","0.749609","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000182"
"1509","0.760968","","","CAN","40","ID: 589 (0x24d), Length: 5","000000019a"
"1533","0.772292","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001aa"
"1553","0.783466","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001cf"
"1576","0.794900","","","CAN","40","ID: 589 (0x24d), Length: 5","000000017c"
"1594","0.805852","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000109"
"1616","0.816540","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000108"
"1633","0.827866","","","CAN","40","ID: 589 (0x24d), Length: 5","000000015e"
"1662","0.839186","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000113"
"1680","0.850035","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001d2"
"1709","0.866232","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001d3"
"1735","0.877628","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001d6"
"1753","0.888434","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000183"
"1788","0.904470","","","CAN","40","ID: 589 (0x24d), Length: 5","000000019a"
"1810","0.915078","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000126"
"1842","0.931385","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001a7"
"1864","0.942299","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000126"
"1891","0.958496","","","CAN","40","ID: 589 (0x24d), Length: 5","000000017f"
"1914","0.969313","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000130"
"1941","0.980231","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000121"
"1963","0.991081","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001c9"
"1989","1.002435","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000164"
"2007","1.013047","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000159"
"2027","1.024153","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000182"
"2063","1.040432","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000194"
"2081","1.051126","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000117"
"2103","1.062371","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000115"
"2125","1.073549","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000131"
"2158","1.090443","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000136"
"2182","1.101789","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001db"
"2202","1.113091","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000105"
"2223","1.124208","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001d4"
"2257","1.140407","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000191"
"2275","1.151072","","","CAN","40","ID: 589 (0x24d), Length: 5","000000014b"
"2301","1.162334","","","CAN","40","ID: 589 (0x24d), Length: 5","000000013f"
"2321","1.173563","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000128"
"2342","1.184831","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001f2"
"2364","1.195334","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001e5"
"2383","1.206575","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000123"
"2405","1.217855","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000121"
"2425","1.229814","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001d3"
"2455","1.241077","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000112"
"2474","1.252337","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000194"
"2496","1.263504","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000172"
"2519","1.274648","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001c8"
"2542","1.285811","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001d7"
"2564","1.297120","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001b5"
"2590","1.308362","","","CAN","40","ID: 589 (0x24d), Length: 5","000000010a"
"2611","1.319604","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001f2"
"2635","1.330868","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000101"
"2655","1.342148","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001c9"
"2677","1.354113","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000012"
"2710","1.370400","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000024"
"2736","1.381555","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000036"
"2756","1.392964","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000048"
"2779","1.404294","","","CAN","40","ID: 589 (0x24d), Length: 5","000000005a"
"2800","1.415637","","","CAN","40","ID: 589 (0x24d), Length: 5","000000006c"
"2817","1.426959","","","CAN","40","ID: 589 (0x24d), Length: 5","000000007e"
"2840","1.438122","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000090"
"2862","1.449423","","","CAN","40","ID: 589 (0x24d), Length: 5","00000000a2"
"2890","1.460755","","","CAN","40","ID: 589 (0x24d), Length: 5","00000000b5"
"2912","1.471912","","","CAN","40","ID: 589 (0x24d), Length: 5","00000000c7"
"2935","1.482565","","","CAN","40","ID: 589 (0x24d), Length: 5","00000000d9"
"2954","1.493184","","","CAN","40","ID: 589 (0x24d), Length: 5","00000000eb"
"2975","1.504435","","","CAN","40","ID: 589 (0x24d), Length: 5","00000000fd"
"2996","1.515615","","","CAN","40","ID: 589 (0x24d), Length: 5","000000010f"
"3029","1.531396","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000121"
"3048","1.542150","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000133"
"3080","1.558490","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000145"
"3103","1.569754","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000157"
"3131","1.581019","","","CAN","40","ID: 589 (0x24d), Length: 5","000000016a"
"3157","1.597327","","","CAN","40","ID: 589 (0x24d), Length: 5","000000017c"
"3180","1.608740","","","CAN","40","ID: 589 (0x24d), Length: 5","000000018e"
"3207","1.619904","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001a0"
"3227","1.631261","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001b2"
"3250","1.642533","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001c4"
"3270","1.653751","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001d6"
"3291","1.665078","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001e8"
"3317","1.676311","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001fa"
"3335","1.687631","","","CAN","40","ID: 589 (0x24d), Length: 5","000000020d"
"3359","1.698794","","","CAN","40","ID: 589 (0x24d), Length: 5","000000021f"
"3381","1.709535","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000231"
"3408","1.720685","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000243"
"3427","1.731392","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000255"
"3447","1.742522","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000267"
"3473","1.758490","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000279"
"3496","1.769854","","","CAN","40","ID: 589 (0x24d), Length: 5","000000028b"
"3526","1.780603","","","CAN","40","ID: 589 (0x24d), Length: 5","000000029d"
"3544","1.791982","","","CAN","40","ID: 589 (0x24d), Length: 5","00000002af"
"3568","1.803373","","","CAN","40","ID: 589 (0x24d), Length: 5","00000002c2"
"3598","1.819057","","","CAN","40","ID: 589 (0x24d), Length: 5","00000002d4"
"3620","1.830298","","","CAN","40","ID: 589 (0x24d), Length: 5","00000002e6"
"3642","1.841642","","","CAN","40","ID: 589 (0x24d), Length: 5","00000002f8"
"3663","1.853686","","","CAN","40","ID: 589 (0x24d), Length: 5","000000030a"
"3683","1.864193","","","CAN","40","ID: 589 (0x24d), Length: 5","000000031c"
"3723","1.881059","","","CAN","40","ID: 589 (0x24d), Length: 5","000000032e"
"3750","1.897265","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000340"
"3779","1.909517","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000352"
"3795","1.920449","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000365"
"3818","1.931769","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000377"
"3843","1.943706","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000389"
"3861","1.954913","","","CAN","40","ID: 589 (0x24d), Length: 5","000000039b"
"3882","1.966239","","","CAN","40","ID: 589 (0x24d), Length: 5","00000003ad"
"3905","1.977541","","","CAN","40","ID: 589 (0x24d), Length: 5","00000003bf"
"3927","1.988733","","","CAN","40","ID: 589 (0x24d), Length: 5","00000003d1"
"3956","2.000828","","","CAN","40","ID: 589 (0x24d), Length: 5","00000003e3"
"3974","2.011976","","","CAN","40","ID: 589 (0x24d), Length: 5","00000003f5"
"3998","2.023221","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000407"
"4023","2.035381","","","CAN","40","ID: 589 (0x24d), Length: 5","000000041a"
"4041","2.046485","","","CAN","40","ID: 589 (0x24d), Length: 5","000000042c"
"4064","2.057747","","","CAN","40","ID: 589 (0x24d), Length: 5","000000043e"
"4083","2.069032","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000450"
"4110","2.080286","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000462"
"4133","2.092203","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000474"
"4155","2.103014","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000486"
"4174","2.114262","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000498"
"4196","2.126240","","","CAN","40","ID: 589 (0x24d), Length: 5","00000004aa"
"4237","2.142520","","","CAN","40","ID: 589 (0x24d), Length: 5","00000004bd"
"4257","2.154308","","","CAN","40","ID: 589 (0x24d), Length: 5","00000004cf"
"4280","2.165061","","","CAN","40","ID: 589 (0x24d), Length: 5","00000004e1"
"4301","2.176307","","","CAN","40","ID: 589 (0x24d), Length: 5","00000004f3"
"4320","2.187485","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000505"
"4343","2.198570","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000517"
"4360","2.209256","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000529"
"4389","2.221093","","","CAN","40","ID: 589 (0x24d), Length: 5","000000053b"
"4416","2.232285","","","CAN","40","ID: 589 (0x24d), Length: 5","000000054d"
"4437","2.244550","","","CAN","40","ID: 589 (0x24d), Length: 5","000000055f"
"4458","2.255517","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000572"
"4478","2.266821","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000584"
"4502","2.278060","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000596"
"4531","2.293851","","","CAN","40","ID: 589 (0x24d), Length: 5","00000005a8"
"4553","2.305534","","","CAN","40","ID: 589 (0x24d), Length: 5","00000005ba"
"4576","2.316984","","","CAN","40","ID: 589 (0x24d), Length: 5","00000005cc"
"4593","2.328272","","","CAN","40","ID: 589 (0x24d), Length: 5","00000005de"
"4624","2.339492","","","CAN","40","ID: 589 (0x24d), Length: 5","00000005f0"
"4644","2.350019","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000602"
"4672","2.366355","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000615"
"4694","2.377477","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000627"
"4712","2.388665","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000639"
"4744","2.400670","","","CAN","40","ID: 589 (0x24d), Length: 5","000000064b"
"4763","2.411971","","","CAN","40","ID: 589 (0x24d), Length: 5","000000065d"
"4787","2.423132","","","CAN","40","ID: 589 (0x24d), Length: 5","000000066f"
"4811","2.434588","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000681"
"4831","2.445114","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000693"
"4853","2.456063","","","CAN","40","ID: 589 (0x24d), Length: 5","00000006a5"
"4875","2.467846","","","CAN","40","ID: 589 (0x24d), Length: 5","00000006b7"
"4896","2.478398","","","CAN","40","ID: 589 (0x24d), Length: 5","00000006ca"
"4922","2.490223","","","CAN","40","ID: 589 (0x24d), Length: 5","00000006dc"
"4950","2.506339","","","CAN","40","ID: 589 (0x24d), Length: 5","00000006ee"
"4974","2.517512","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000700"
"4991","2.529283","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000712"
"5031","2.545034","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000724"
"5053","2.556549","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000736"
"5069","2.567033","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000748"
"5106","2.583510","","","CAN","40","ID: 589 (0x24d), Length: 5","000000075a"
"5126","2.594429","","","CAN","40","ID: 589 (0x24d), Length: 5","000000076d"
"5146","2.605293","","","CAN","40","ID: 589 (0x24d), Length: 5","000000077f"
"5170","2.617278","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000791"
"5190","2.628518","","","CAN","40","ID: 589 (0x24d), Length: 5","00000007a3"
"5218","2.639832","","","CAN","40","ID: 589 (0x24d), Length: 5","00000007b5"
"5241","2.651743","","","CAN","40","ID: 589 (0x24d), Length: 5","00000007c7"
"5265","2.663024","","","CAN","40","ID: 589 (0x24d), Length: 5","00000007d9"
"5286","2.674476","","","CAN","40","ID: 589 (0x24d), Length: 5","00000007eb"
"5305","2.685648","","","CAN","40","ID: 589 (0x24d), Length: 5","00000007fd"
"5326","2.696822","","","CAN","40","ID: 589 (0x24d), Length: 5","000000080f"
"5346","2.708356","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000822"
"5372","2.719080","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000834"
"5388","2.730240","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000846"
"5422","2.741211","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000858"
"5441","2.752070","","","CAN","40","ID: 589 (0x24d), Length: 5","000000086a"
"5466","2.763946","","","CAN","40","ID: 589 (0x24d), Length: 5","000000087c"
"5486","2.775284","","","CAN","40","ID: 589 (0x24d), Length: 5","000000088e"
"5506","2.786573","","","CAN","40","ID: 589 (0x24d), Length: 5","00000008a0"
"5529","2.797934","","","CAN","40","ID: 589 (0x24d), Length: 5","00000008b2"
"5545","2.808676","","","CAN","40","ID: 589 (0x24d), Length: 5","00000008c5"
"5572","2.819963","","","CAN","40","ID: 589 (0x24d), Length: 5","00000008d7"
"5596","2.831207","","","CAN","40","ID: 589 (0x24d), Length: 5","00000008e9"
"5622","2.842488","","","CAN","40","ID: 589 (0x24d), Length: 5","00000008fb"
"5641","2.854054","","","CAN","40","ID: 589 (0x24d), Length: 5","000000090d"
"5665","2.865268","","","CAN","40","ID: 589 (0x24d), Length: 5","000000091f"
"5686","2.876172","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000931"
"5702","2.887488","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000943"
"5725","2.898701","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000955"
"5747","2.909784","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000967"
"5776","2.921598","","","CAN","40","ID: 589 (0x24d), Length: 5","000000097a"
"5798","2.932674","","","CAN","40","ID: 589 (0x24d), Length: 5","000000098c"
"5820","2.943541","","","CAN","40","ID: 589 (0x24d), Length: 5","000000099e"
"5839","2.955187","","","CAN","40","ID: 589 (0x24d), Length: 5","00000009b0"
"5860","2.966453","","","CAN","40","ID: 589 (0x24d), Length: 5","00000009c2"
"5885","2.978121","","","CAN","40","ID: 589 (0x24d), Length: 5","00000009d4"
"5901","2.989195","","","CAN","40","ID: 589 (0x24d), Length: 5","00000009e6"
"5933","3.000654","","","CAN","40","ID: 589 (0x24d), Length: 5","00000009f8"
"5951","3.011968","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000a0a"
"5975","3.023186","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000a1d"
"6012","3.040082","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000a2f"
"6038","3.056145","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000a41"
"6061","3.067090","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000a53"
"6095","3.083157","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000a65"
"6114","3.094389","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000a77"
"6137","3.106122","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000a89"
"6159","3.117044","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000a9b"
"6194","3.133941","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000aad"
"6215","3.144623","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000abf"
"6237","3.155658","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000ad2"
"6256","3.167019","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000ae4"
"6292","3.183198","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000af6"
"6312","3.194748","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000b08"
"6331","3.205376","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000b1a"
"6353","3.216648","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000b2c"
"6374","3.228734","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000b3e"
"6403","3.239977","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000b50"
"6432","3.256795","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000b62"
"6453","3.267737","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000b75"
"6475","3.278788","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000b87"
"6501","3.290769","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000b99"
"6526","3.301839","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000bab"
"6544","3.312586","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000bbd"
"6565","3.324420","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000bcf"
"6589","3.335676","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000be1"
"6611","3.347427","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000bf3"
"6633","3.358225","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000c05"
"6657","3.369187","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000c17"
"6686","3.380784","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000c2a"
"6704","3.391805","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000c3c"
"6725","3.403099","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000c4e"
"6745","3.415130","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000c60"
"6777","3.431277","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000c72"
"6805","3.444019","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000c84"
"6837","3.460046","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000c96"
"6860","3.471558","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000ca8"
"6881","3.482513","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000c96"
"6900","3.493732","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000c84"
"6923","3.504302","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000c72"
"6943","3.515185","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000c60"
"6963","3.526445","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000c4e"
"6989","3.537705","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000c3c"
"7007","3.549004","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000c2a"
"7034","3.560282","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000c17"
"7064","3.576490","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000c05"
"7085","3.587683","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000bf3"
"7111","3.599034","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000be1"
"7139","3.615418","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000bcf"
"7161","3.626688","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000bbd"
"7188","3.637949","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000bab"
"7205","3.649124","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000b99"
"7236","3.660406","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000b87"
"7260","3.671662","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000b75"
"7282","3.682926","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000b62"
"7299","3.694203","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000b50"
"7322","3.705782","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000b3e"
"7345","3.716697","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000b2c"
"7361","3.727481","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000b1a"
"7391","3.738602","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000b08"
"7412","3.749206","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000af6"
"7434","3.760081","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000ae4"
"7462","3.776188","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000ad2"
"7479","3.787251","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000abf"
"7503","3.798503","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000aad"
"7523","3.809170","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000a9b"
"7552","3.820428","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000a89"
"7569","3.831641","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000a77"
"7595","3.842822","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000a65"
"7614","3.854089","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000a53"
"7638","3.865350","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000a41"
"7659","3.876608","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000a2f"
"7676","3.887838","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000a1d"
"7701","3.899155","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000a0a"
"7724","3.910469","","","CAN","40","ID: 589 (0x24d), Length: 5","00000009f8"
"7750","3.921622","","","CAN","40","ID: 589 (0x24d), Length: 5","00000009e6"
"7773","3.932897","","","CAN","40","ID: 589 (0x24d), Length: 5","00000009d4"
"7796","3.943767","","","CAN","40","ID: 589 (0x24d), Length: 5","00000009c2"
"7815","3.955023","","","CAN","40","ID: 589 (0x24d), Length: 5","00000009b0"
